,count,integer_1,integer_2,name_1,name_2
2259,206,1801,133185,Star Trek,Sherlock (TV)
2261,158,133185,5316694,Sherlock (TV),Doctor Strange (2016)
2263,783,7266,259126,Marvel,Captain America (Comics)
2264,1190,259126,414093,Captain America (Comics),Marvel Cinematic Universe
2265,1624,259126,578887,Captain America (Comics),Captain America - All Media Types
2266,1933,259126,586439,Captain America (Comics),Captain America (Movies)
2267,1016,259126,727114,Captain America (Comics),The Avengers (Marvel) - All Media Types
2268,1081,259126,1001939,Captain America (Comics),The Avengers (Marvel Movies)
2269,758,22389,3352745,Daredevil (Comics),Daredevil (TV)
2270,860,2207797,10759147,How to Train Your Dragon (Movies),DreamWorks Dragons (Cartoon)
2271,1262,7266,662604,Marvel,Deadpool - All Media Types
2272,722,7266,3352745,Marvel,Daredevil (TV)
2273,412,662604,3352745,Deadpool - All Media Types,Daredevil (TV)
2274,2453,735779,801274,Hannibal Lecter Series - All Media Types,Hannibal (TV)
2276,498,218129,218130,Young Justice (Cartoon),Young Justice (Comics)
2281,223,115613,414093,Percy Jackson and the Olympians - Rick Riordan,Marvel Cinematic Universe
2283,150,379999,414093,Once Upon a Time (TV),Marvel Cinematic Universe
2286,515,541,11263,Power Rangers,Mighty Morphin Power Rangers
2378,352,390,582724,DCU,Miraculous Ladybug
2380,304,136512,379999,Harry Potter - J. K. Rowling,Once Upon a Time (TV)
2382,102,18291537,50504489,The Prom - Sklar/Beguelin/Martin,The Prom (2020)
2389,522,49458,105423,Inspector Lynley Mysteries (TV),Inspector Lynley - All Media Types
2390,226,29576,31516237,Star Wars Original Trilogy,The Mandalorian (TV)
2394,237,258526,282761,Teen Wolf (TV),teen wolf - Fandom
2398,558,414093,1368642,Marvel Cinematic Universe,The Amazing Spider-Man (Movies - Webb)
2400,2625,235690,782522,Fire Emblem Series,Fire Emblem: Kakusei | Fire Emblem: Awakening
2401,2033,82576,258664,Batman (Comics),Red Robin (Comics)
2402,2316,236208,258664,Batman - All Media Types,Red Robin (Comics)
2403,1364,258664,969647,Red Robin (Comics),DCU (Comics)
2415,513,19913037,23186823,The Terror - Dan Simmons,The Terror (TV 2018)
2418,120,1464,3409,Star Trek: The Original Series,Star Trek: Voyager
2419,260,1464,6226,Star Trek: The Original Series,Star Trek: The Next Generation
2420,148,1464,8474,Star Trek: The Original Series,Star Trek: Deep Space Nine
2421,602,1801,3409,Star Trek,Star Trek: Voyager
2422,1024,1801,8474,Star Trek,Star Trek: Deep Space Nine
2423,276,3409,8474,Star Trek: Voyager,Star Trek: Deep Space Nine
2424,398,6226,8474,Star Trek: The Next Generation,Star Trek: Deep Space Nine
2426,468,449387,452874,Pocket Monsters: Diamond & Pearl & Platinum | Pokemon Diamond Pearl Platinum Versions,Pocket Monsters | Pokemon (Main Video Game Series)
2427,1756,13665,81269,Persona 4,Persona Series
2429,218,39873898,48190765,Hololive,Virtual Streamer Animated Characters
2430,321,23025363,23154555,殺戮の天使 | Satsuriku no Tenshi | Angels of Death (Anime),殺戮の天使 | Satsuriku no Tenshi | Angels of Death (Manga)
2431,848,1064196,1064218,Teenage Mutant Ninja Turtles (TV 2003),Teenage Mutant Ninja Turtles - All Media Types
2437,186,1108896,5443632,Grand Theft Auto V,Grand Theft Auto Series (Video Games)
2439,1754,1002903,1356851,방탄소년단 | Bangtan Boys | BTS,GOT7
2442,194,641,29576,Star Wars,Star Wars Original Trilogy
2443,1356,641,101375,Star Wars,Star Wars - All Media Types
2450,1731,730474,5581908,The Maze Runner Series - James Dashner,The Maze Runner (Movies)
2451,3808,101375,9162187,Star Wars - All Media Types,Rogue One: A Star Wars Story (2016)
2453,188,457909,1368557,SCP Foundation,SCP - Containment Breach
2454,638,26890745,35274356,Given (Manga),Given (Anime)
2457,125,9540643,10065416,Basic Instinct (Movies),Mænd & høns | Men & Chicken (2015)
2458,119,9540643,21679434,Basic Instinct (Movies),Hannibal Extended Universe - Fandom
2464,593,2692,51147222,Original Work,gonewildaudio - Fandom
2465,338,2692,51160545,Original Work,GWA - Fandom
2466,358,51147222,51160545,gonewildaudio - Fandom,GWA - Fandom
2467,278,105119,1002903,Kpop - Fandom,방탄소년단 | Bangtan Boys | BTS
2471,439,1002903,19017606,방탄소년단 | Bangtan Boys | BTS,Stray Kids (Band)
2479,164,390,259514,DCU,Green Arrow (Comics)
2481,911,390,1098294,DCU,Red Hood and the Outlaws (Comics)
2482,193,390,6442415,DCU,Red Hood/Arsenal (Comics)
2483,152,82576,259514,Batman (Comics),Green Arrow (Comics)
2484,293,82576,606566,Batman (Comics),Red Hood: Lost Days
2485,303,82576,6442415,Batman (Comics),Red Hood/Arsenal (Comics)
2486,116,236208,259514,Batman - All Media Types,Green Arrow (Comics)
2487,401,236208,606566,Batman - All Media Types,Red Hood: Lost Days
2488,470,236208,6442415,Batman - All Media Types,Red Hood/Arsenal (Comics)
2490,253,259514,969647,Green Arrow (Comics),DCU (Comics)
2493,138,606566,969647,Red Hood: Lost Days,DCU (Comics)
2494,239,606566,1098294,Red Hood: Lost Days,Red Hood and the Outlaws (Comics)
2496,305,969647,6442415,DCU (Comics),Red Hood/Arsenal (Comics)
2497,590,1098294,6442415,Red Hood and the Outlaws (Comics),Red Hood/Arsenal (Comics)
2514,1945,967686,2848119,Outlander Series - Diana Gabaldon,Outlander (TV)
2517,1901,235690,13781780,Fire Emblem Series,Fire Emblem Heroes
2518,215,13781780,23985107,Fire Emblem Heroes,Fire Emblem: Fuukasetsugetsu | Fire Emblem: Three Houses
2521,171,136512,205859,Harry Potter - J. K. Rowling,The Walking Dead (TV)
2522,153,390,136512,DCU,Harry Potter - J. K. Rowling
2523,534,390,414093,DCU,Marvel Cinematic Universe
2524,492,390,4945690,DCU,Teen Titans - All Media Types
2525,265,390,5060107,DCU,Suicide Squad (2016)
2526,106,136512,969647,Harry Potter - J. K. Rowling,DCU (Comics)
2530,338,236208,414093,Batman - All Media Types,Marvel Cinematic Universe
2531,721,236208,2818614,Batman - All Media Types,Gotham (TV)
2532,862,236208,4945690,Batman - All Media Types,Teen Titans - All Media Types
2533,412,236208,5060107,Batman - All Media Types,Suicide Squad (2016)
2538,418,969647,4945690,DCU (Comics),Teen Titans - All Media Types
2539,135,969647,5060107,DCU (Comics),Suicide Squad (2016)
2556,819,641,6048501,Star Wars,Star Wars Sequel Trilogy
2557,128,641,7761604,Star Wars,Reylo - Fandom
2558,4369,1072216,6856609,The Mortal Instruments Series - Cassandra Clare,Shadowhunters (TV)
2560,1171,1072216,12307111,The Mortal Instruments Series - Cassandra Clare,The Shadowhunter Chronicles - All Media Types
2561,1484,1072216,12310528,The Mortal Instruments Series - Cassandra Clare,The Shadowhunter Chronicles - Cassandra Clare
2562,119,6856609,8991295,Shadowhunters (TV),Shadowhunters (TV) RPF
2565,161,26097629,27765517,Chilling Adventures of Sabrina (TV 2018),Chilling Adventures of Sabrina (TV 2018) RPF
2567,306,2692,579568,Original Work,Dungeons & Dragons - All Media Types
2588,154,172566,273721,Fate/stay night (Visual Novel),Fate/Zero
2590,174,172566,4274675,Fate/stay night (Visual Novel),Fate/stay night - All Media Types
2594,190,273721,4274675,Fate/Zero,Fate/stay night - All Media Types
2595,361,273721,7890514,Fate/Zero,Fate/Grand Order
2606,2431,414093,1928582,Marvel Cinematic Universe,Agent Carter (TV)
2607,2185,730474,3163988,The Maze Runner Series - James Dashner,The Maze Runner Series - All Media Types
2608,1532,3163988,5581908,The Maze Runner Series - All Media Types,The Maze Runner (Movies)
2610,163,641,747342,Star Wars,Star Wars: The Clone Wars (2008) - All Media Types
2612,170,59410,568001,Phantom of the Opera - Lloyd Webber,Love Never Dies - Lloyd Webber
2617,2218,1320148,16105794,全职高手 - 蝴蝶蓝 | Quánzhí Gāoshǒu - Húdié Lán,全职高手 | The King's Avatar (Cartoon)
2621,1882,203,27785,Torchwood,Doctor Who (2005)
2629,872,26110751,26217281,Yu-Gi-Oh! Duel Monsters (Anime & Manga),Yu-Gi-Oh! - All Media Types
2631,1064,13907,727114,Marvel 616,The Avengers (Marvel) - All Media Types
2632,567,61493,448284,Pocket Monsters SPECIAL | Pokemon Adventures,Pocket Monsters | Pokemon - All Media Types
2641,388,448284,449389,Pocket Monsters | Pokemon - All Media Types,Pocket Monsters: Gold & Silver & Crystal | Pokemon Gold Silver Crystal Versions
2642,111,448285,449385,Pocket Monsters | Pokemon (Anime),Pocket Monsters: Ruby & Sapphire & Emerald | Pokemon Ruby Sapphire Emerald Versions
2644,104,449385,449387,Pocket Monsters: Ruby & Sapphire & Emerald | Pokemon Ruby Sapphire Emerald Versions,Pocket Monsters: Diamond & Pearl & Platinum | Pokemon Diamond Pearl Platinum Versions
2656,373,498882,650112,Last Shadow Puppets,Arctic Monkeys
2658,2496,116314,1285131,Hunger Games Trilogy - Suzanne Collins,The Hunger Games (Movies)
2660,348,45591,939813,Super Smash Brothers,光神話 | Kid Icarus (Video Games)
2666,269,1356851,11122924,GOT7,BLACKPINK (Band)
2671,208,29012495,29570069,Breddy,Twosetviolin
2675,294,7266,9754024,Marvel,Black Panther (2018)
2676,2132,414093,9754024,Marvel Cinematic Universe,Black Panther (2018)
2677,135,32663,69383,SHINee,Big Bang (Band)
2678,360,32663,1002903,SHINee,방탄소년단 | Bangtan Boys | BTS
2679,162,32663,1356851,SHINee,GOT7
2680,178,69383,550814,Big Bang (Band),EXO (Band)
2681,238,69383,1002903,Big Bang (Band),방탄소년단 | Bangtan Boys | BTS
2682,125,69383,1356851,Big Bang (Band),GOT7
2683,949,29576,747342,Star Wars Original Trilogy,Star Wars: The Clone Wars (2008) - All Media Types
2684,105,29576,750321,Star Wars Original Trilogy,Star Wars: Clone Wars (2003) - All Media Types
2685,816,101375,750321,Star Wars - All Media Types,Star Wars: Clone Wars (2003) - All Media Types
2686,914,747342,750321,Star Wars: The Clone Wars (2008) - All Media Types,Star Wars: Clone Wars (2003) - All Media Types
2703,304,901,17051,Backstreet Boys,Popslash
2708,373,390,7367603,DCU,DC Extended Universe
2712,135,7266,498940,Marvel,Steve Rogers - Fandom
2714,130,414093,498940,Marvel Cinematic Universe,Steve Rogers - Fandom
2716,110,498940,586439,Steve Rogers - Fandom,Captain America (Movies)
2723,111,1064218,6012636,Teenage Mutant Ninja Turtles - All Media Types,Teenage Mutant Ninja Turtles (IDW Comics)
2747,569,406,7078,Doctor Who,Doctor Who (Big Finish Audio)
2748,3254,101375,3132749,Star Wars - All Media Types,Star Wars: Rebels
2749,173,3132749,9162187,Star Wars: Rebels,Rogue One: A Star Wars Story (2016)
2758,131,34647218,45281500,盗墓笔记重启 | The Lost Tomb Reboot (TV),盗墓笔记 - 南派三叔 | The Grave Robbers' Chronicles - Xu Lei
2771,124,9149275,10431373,Wynonna Earp (TV),wayhaught - Fandom
2779,3038,186923,26987600,Queen (Band),Bohemian Rhapsody (Movie 2018)
2780,270,103292,933850,Final Fantasy,Final Fantasy XV
2781,149,230438,1302228,d'Artagnan Romances (Three Musketeers Series) - All Media Types,The Musketeers (2014)
2786,108,2462250,2954291,灰色庭園 | Haiiro Teien | The Gray Garden,廃れ夢 | Obsolete Dream
2787,401,758208,3828398,Haikyuu!!,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia
2788,665,701010,5082472,Mortal Kombat - All Media Types,Mortal Kombat (Video Games)
2789,2273,289604,1001939,Marvel (Comics),The Avengers (Marvel Movies)
2793,373,32045,25465596,The Vampire Diaries (TV),Legacies (TV 2018)
2794,436,813205,25465596,The Originals (TV),Legacies (TV 2018)
2797,322,132950,305222,Warhammer 40.000,Warhammer 40k (Novels) - Various Authors
2804,2360,82576,525714,Batman (Comics),Nightwing (Comics)
2807,759,258664,525714,Red Robin (Comics),Nightwing (Comics)
2808,1160,258664,1098294,Red Robin (Comics),Red Hood and the Outlaws (Comics)
2840,285,1320148,35119547,全职高手 - 蝴蝶蓝 | Quánzhí Gāoshǒu - Húdié Lán,全职高手 | The King's Avatar (Live Action TV)
2841,152,16105794,35119547,全职高手 | The King's Avatar (Cartoon),全职高手 | The King's Avatar (Live Action TV)
2881,160,37207,5437936,Fallout - Fandom,Fallout 4
2882,263,22035804,27551509,Love Simon (2018),Simonverse | Creekwood Series - Becky Albertalli
2912,266,3668,236208,Batman Beyond,Batman - All Media Types
2921,358,116304,136512,A Song of Ice and Fire - George R. R. Martin,Harry Potter - J. K. Rowling
2923,313,134908,882989,Great Gatsby - F. Scott Fitzgerald,The Great Gatsby (2013)
2925,619,13907,30349,Marvel 616,X-Men (Comicverse)
2931,698,136512,727114,Harry Potter - J. K. Rowling,The Avengers (Marvel) - All Media Types
2933,1701,117953,133185,Sherlock Holmes - Arthur Conan Doyle,Sherlock (TV)
2934,285,129318,30769520,Mötley Crüe,The Dirt (2019)
2938,424,449384,452874,Pocket Monsters: Red & Green & Blue & Yellow | Pokemon Red Green Blue Yellow Versions,Pocket Monsters | Pokemon (Main Video Game Series)
2943,703,40781,82576,Batman: The Animated Series,Batman (Comics)
2944,1050,40781,236208,Batman: The Animated Series,Batman - All Media Types
2955,333,390,40781,DCU,Batman: The Animated Series
2956,344,390,63219,DCU,Robin (Comics)
2957,757,390,258664,DCU,Red Robin (Comics)
2958,999,390,525714,DCU,Nightwing (Comics)
2962,142,40781,969647,Batman: The Animated Series,DCU (Comics)
2964,918,63219,82576,Robin (Comics),Batman (Comics)
2965,724,63219,236208,Robin (Comics),Batman - All Media Types
2966,532,63219,258664,Robin (Comics),Red Robin (Comics)
2967,284,63219,419088,Robin (Comics),Batman and Robin (Comics)
2968,368,63219,525714,Robin (Comics),Nightwing (Comics)
2969,537,63219,969647,Robin (Comics),DCU (Comics)
2971,130,82576,42533587,Batman (Comics),Batman: Under the Red Hood (2010)
2972,245,236208,42533587,Batman - All Media Types,Batman: Under the Red Hood (2010)
2973,374,258664,419088,Red Robin (Comics),Batman and Robin (Comics)
2975,480,419088,525714,Batman and Robin (Comics),Nightwing (Comics)
2981,256,386,12415957,The X-Files,The Fall (TV 2013)
2988,121,259514,587792,Green Arrow (Comics),Arrow (TV 2012)
2991,1171,71524,219012,Transformers Animated (2007),Transformers - All Media Types
2993,161,71524,726906,Transformers Animated (2007),The Transformers (IDW Generation One)
2998,278,258664,613839,Red Robin (Comics),Batgirl (Comics)
2999,467,258664,865284,Red Robin (Comics),Superboy (Comics)
3001,557,613839,969647,Batgirl (Comics),DCU (Comics)
3006,228,25606329,46767022,镇魂 | Guardian - priest,镇魂 | Guardian (TV 2018)
3011,133,15322,35543642,Formula 1 RPF,Formula 2 RPF
3031,2443,289604,727114,Marvel (Comics),The Avengers (Marvel) - All Media Types
3032,1524,414093,662604,Marvel Cinematic Universe,Deadpool - All Media Types
3089,104,219643,25311636,Rent - Larson,Rent (2005)
3091,205,1351984,26281424,All Souls Trilogy - Deborah Harkness,A Discovery of Witches (TV)
3093,121,292517,2128865,Godzilla - All Media Types,Godzilla (2014)
3094,159,292517,25307253,Godzilla - All Media Types,Godzilla: King of The Monsters (2019)
3095,120,2128865,25307253,Godzilla (2014),Godzilla: King of The Monsters (2019)
3097,170,55873,3828398,Fairy Tail,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia
3101,195,3828398,4594871,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia,文豪ストレイドッグス | Bungou Stray Dogs
3104,653,414093,4896523,Marvel Cinematic Universe,The Defenders (Marvel TV)
3105,552,4896523,5466945,The Defenders (Marvel TV),Jessica Jones (TV)
3118,1081,82576,109430,Batman (Comics),Superman (Comics)
3120,310,82576,13125490,Batman (Comics),Super Sons (Comics)
3124,153,109430,13125490,Superman (Comics),Super Sons (Comics)
3137,117,65737,765527,Music RPF,Festival di Sanremo RPF
3140,837,29576,6048501,Star Wars Original Trilogy,Star Wars Sequel Trilogy
3146,564,7266,722204,Marvel,Winter Soldier (Comics)
3147,722,259126,289604,Captain America (Comics),Marvel (Comics)
3148,392,259126,722204,Captain America (Comics),Winter Soldier (Comics)
3149,802,289604,578887,Marvel (Comics),Captain America - All Media Types
3150,1060,289604,586439,Marvel (Comics),Captain America (Movies)
3151,365,289604,722204,Marvel (Comics),Winter Soldier (Comics)
3152,772,578887,722204,Captain America - All Media Types,Winter Soldier (Comics)
3153,1096,586439,722204,Captain America (Movies),Winter Soldier (Comics)
3154,926,722204,1001939,Winter Soldier (Comics),The Avengers (Marvel Movies)
3156,774,250093,727114,X-Men - All Media Types,The Avengers (Marvel) - All Media Types
3163,173,12845,18983,Hetalia: Axis Powers,Hetalia - Fandom
3164,389,12845,1028372,Hetalia: Axis Powers,2P Hetalia - Fandom
3166,4768,81269,4231202,Persona Series,Persona 5
3172,217,13999,13045252,Naruto,火影忍者
3188,126,28978724,29095667,Amar a Muerte (TV),Juliantina - Fandom
3194,5895,226657,245368,Iron Man (Movies),Thor (Movies)
3195,586,226657,725977,Iron Man (Movies),The Incredible Hulk (2008)
3196,558,226657,879346,Iron Man (Movies),Agents of S.H.I.E.L.D. (TV)
3197,541,245368,725977,Thor (Movies),The Incredible Hulk (2008)
3198,803,245368,879346,Thor (Movies),Agents of S.H.I.E.L.D. (TV)
3199,852,414093,725977,Marvel Cinematic Universe,The Incredible Hulk (2008)
3200,400,586439,725977,Captain America (Movies),The Incredible Hulk (2008)
3201,1542,586439,879346,Captain America (Movies),Agents of S.H.I.E.L.D. (TV)
3202,305,725977,727114,The Incredible Hulk (2008),The Avengers (Marvel) - All Media Types
3204,960,725977,1001939,The Incredible Hulk (2008),The Avengers (Marvel Movies)
3205,804,727114,879346,The Avengers (Marvel) - All Media Types,Agents of S.H.I.E.L.D. (TV)
3206,3669,879346,1001939,Agents of S.H.I.E.L.D. (TV),The Avengers (Marvel Movies)
3207,617,190901,514386,Tangled (2010),Brave (2012)
3208,657,190901,541437,Tangled (2010),Rise of the Guardians (2012)
3209,463,190901,2207797,Tangled (2010),How to Train Your Dragon (Movies)
3210,583,514386,541437,Brave (2012),Rise of the Guardians (2012)
3211,523,514386,2207797,Brave (2012),How to Train Your Dragon (Movies)
3212,1575,541437,2207797,Rise of the Guardians (2012),How to Train Your Dragon (Movies)
3217,218,29577,101390,Star Wars Prequel Trilogy,Star Wars: Rise of Empire Era - All Media Types
3218,325,101375,101390,Star Wars - All Media Types,Star Wars: Rise of Empire Era - All Media Types
3228,821,25224591,27661039,少女☆歌劇 レヴュー・スタァライト | Shoujo Kageki Revue Starlight (Anime),少女☆歌劇 レヴュースタァライト -Re LIVE- | Shoujo Kageki Revue Starlight -Re LIVE- (Video Game)
3232,227,7266,1967132,Marvel,Marvel Cinematic Universe RPF
3233,626,414093,1967132,Marvel Cinematic Universe,Marvel Cinematic Universe RPF
3234,103,578887,1967132,Captain America - All Media Types,Marvel Cinematic Universe RPF
3235,214,586439,1967132,Captain America (Movies),Marvel Cinematic Universe RPF
3236,205,727114,1967132,The Avengers (Marvel) - All Media Types,Marvel Cinematic Universe RPF
3237,276,1001939,1967132,The Avengers (Marvel Movies),Marvel Cinematic Universe RPF
3238,425,297924,448284,Pokemon Mystery Dungeon,Pocket Monsters | Pokemon - All Media Types
3248,158,4551485,7150409,SEVENTEEN (Band),TWICE (Band)
3258,982,796047,5946839,Love Live! School Idol Project,Love Live! School Idol Festival (Video Game)
3259,1535,796047,9505516,Love Live! School Idol Project,Love Live! Sunshine!!
3261,109,796047,48135448,Love Live! School Idol Project,ラブライブ! 虹ヶ咲学園スクールアイドル同好会 | Love Live! Nijigasaki Gakuen School Idol Doukoukai (Anime)
3269,214,23599229,48135448,Love Live! School Idol Festival ALL STARS (Video Game),ラブライブ! 虹ヶ咲学園スクールアイドル同好会 | Love Live! Nijigasaki Gakuen School Idol Doukoukai (Anime)
3271,2748,229522,1080663,Dragon Age II,Dragon Age: Inquisition
3273,405,101375,31803664,Star Wars - All Media Types,Star Wars: Jedi: Fallen Order (Video Game)
3283,463,236208,13125490,Batman - All Media Types,Super Sons (Comics)
3284,350,969647,13125490,DCU (Comics),Super Sons (Comics)
3295,111,34459828,35101298,炎炎ノ消防隊 | Enen no Shouboutai | Fire Force (Anime),炎炎ノ消防隊 | Enen no Shouboutai | Fire Brigade of Flames (Manga)
3300,373,169,2427,My Chemical Romance,The Used
3301,1396,739186,1356851,JJ Project,GOT7
3309,2608,70,1331,Stargate Atlantis,Stargate SG-1
3326,445,31108,289604,Spider-Man (Comicverse),Marvel (Comics)
3327,374,22034,28830068,Professional Wrestling,All Elite Wrestling
3328,352,2692,975513,Original Work,Furry (Fandom)
3329,122,2692,725640,Original Work,Creepypasta - Fandom
3337,150,102251,215080,Rockman.EXE | Mega Man Battle Network,Rockman | Mega Man - All Media Types
3345,275,209989,218130,Teen Titans (Comics),Young Justice (Comics)
3346,400,209989,258664,Teen Titans (Comics),Red Robin (Comics)
3347,161,209989,865284,Teen Titans (Comics),Superboy (Comics)
3348,1108,209989,969647,Teen Titans (Comics),DCU (Comics)
3349,271,218130,258664,Young Justice (Comics),Red Robin (Comics)
3350,172,218130,865284,Young Justice (Comics),Superboy (Comics)
3351,452,218130,969647,Young Justice (Comics),DCU (Comics)
3352,283,7266,22389,Marvel,Daredevil (Comics)
3354,254,142070,210539,Cats - Andrew Lloyd Webber,Old Possum's Book of Practical Cats - T. S. Eliot
3355,386,6943,218280,Real Person Fiction,Video Blogging RPF
3360,868,475176,481231,Digimon Adventure Zero Two | Digimon Adventure 02,Digimon - All Media Types
3373,724,236208,613839,Batman - All Media Types,Batgirl (Comics)
3379,162,969647,2346771,DCU (Comics),Harley Quinn (Comics)
3382,228,2346771,4678761,Harley Quinn (Comics),Poison Ivy (Comics)
3388,471,1118749,13078762,markiplier - Fandom,CrankGameplays - Fandom
3394,743,105122,9139561,K-pop,NCT (Band)
3399,2597,105122,1002903,K-pop,방탄소년단 | Bangtan Boys | BTS
3400,650,59410,135809,Phantom of the Opera - Lloyd Webber,Le Fantôme de l'Opéra | Phantom of the Opera - Gaston Leroux
3401,399,59410,237331,Phantom of the Opera - Lloyd Webber,Phantom of the Opera (2004)
3403,208,135809,237331,Le Fantôme de l'Opéra | Phantom of the Opera - Gaston Leroux,Phantom of the Opera (2004)
3412,1634,1001939,2814336,The Avengers (Marvel Movies),Guardians of the Galaxy (Movies)
3416,310,390,5455680,DCU,Green Lantern - All Media Types
3440,284,15322,2198962,Formula 1 RPF,Motorsport RPF
3443,265,169,2900481,My Chemical Romance,frnkiero andthe cellabration
3449,387,28413008,41496655,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった… - 山口悟 | My Next Life as a Villainess - Yamaguchi Satoru (Light Novels),乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった… | My Next Life as a Villainess (Anime)
3452,277,115613,735927,Percy Jackson and the Olympians - Rick Riordan,The Kane Chronicles - Rick Riordan
3453,334,115613,5392312,Percy Jackson and the Olympians - Rick Riordan,Magnus Chase and the Gods of Asgard - Rick Riordan
3454,217,224545,735927,The Heroes of Olympus - Rick Riordan,The Kane Chronicles - Rick Riordan
3455,247,224545,5392312,The Heroes of Olympus - Rick Riordan,Magnus Chase and the Gods of Asgard - Rick Riordan
3458,159,735927,5392312,The Kane Chronicles - Rick Riordan,Magnus Chase and the Gods of Asgard - Rick Riordan
3459,111,735927,7857352,The Kane Chronicles - Rick Riordan,The Trials of Apollo - Rick Riordan
3460,159,5392312,7857352,Magnus Chase and the Gods of Asgard - Rick Riordan,The Trials of Apollo - Rick Riordan
3465,109,711035,18614061,Super Dangan Ronpa 2,Super Dangan Ronpa 2.5
3471,725,226657,586437,Iron Man (Movies),The Avengers - Ambiguous Fandom
3515,402,1216336,32733436,The Goldfinch - Donna Tartt,The Goldfinch (2019)
3517,150,1356851,2654295,GOT7,Red Velvet (K-pop Band)
3518,266,2654295,7150409,Red Velvet (K-pop Band),TWICE (Band)
3519,252,2654295,11122924,Red Velvet (K-pop Band),BLACKPINK (Band)
3520,234,7150409,11122924,TWICE (Band),BLACKPINK (Band)
3527,218,35254,227360,Fallout 3,Fallout: New Vegas
3528,1095,35254,870188,Fallout 3,Fallout (Video Games)
3529,333,35254,5437936,Fallout 3,Fallout 4
3530,1658,227360,870188,Fallout: New Vegas,Fallout (Video Games)
3531,217,227360,5437936,Fallout: New Vegas,Fallout 4
3532,317,2692,264647,Original Work,Poetry - Fandom
3538,5360,169,13253,My Chemical Romance,Bandom
3539,1681,169,17431,My Chemical Romance,Panic! at the Disco
3545,171,2427,13253,The Used,Bandom
3553,2276,13253,17431,Bandom,Panic! at the Disco
3554,167,13253,29895,Bandom,Young Veins
3560,200,17431,29895,Panic! at the Disco,Young Veins
3581,242,53131,236208,Teen Titans (Animated Series),Batman - All Media Types
3585,145,1098294,42533587,Red Hood and the Outlaws (Comics),Batman: Under the Red Hood (2010)
3586,175,1633246,3828398,Dangan Ronpa - All Media Types,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia
3587,217,133185,428261,Sherlock (TV),johnlock - Fandom
3588,823,12741,136512,Harry Potter - Fandom,Harry Potter - J. K. Rowling
3595,411,218280,602244,Video Blogging RPF,youtube - Fandom
3620,1018,940800,17153643,悪魔城ドラキュラ | Castlevania Series,Castlevania (Cartoon)
3622,147,24479231,24557565,ONEUS (Band),ATEEZ (Band)
3623,137,7316,104519,Historical RPF,19th Century CE RPF
3627,140,28387868,29622962,YG Treasure Box (TV),TREASURE (Korea Band)
3628,2362,452309,1285131,Hunger Games Series - All Media Types,The Hunger Games (Movies)
3629,199,49548,15764445,Mass Effect,Mass Effect - All Media Types
3630,411,49548,15764730,Mass Effect,Mass Effect Trilogy
3631,2602,15764445,15764730,Mass Effect - All Media Types,Mass Effect Trilogy
3634,156,22959,3828398,Hunter X Hunter,僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia
3635,1260,218129,236208,Young Justice (Cartoon),Batman - All Media Types
3640,735,27810,380372,James Bond (Movies),James Bond - All Media Types
3641,1919,27810,613602,James Bond (Movies),James Bond (Craig movies)
3642,1363,380372,613602,James Bond - All Media Types,James Bond (Craig movies)
3648,822,40766,12642079,Archie Comics,Riverdale (TV 2017)
3650,325,73043,116125,Yu-Gi-Oh! 5D's,Yu-Gi-Oh! GX
3651,107,73043,314015,Yu-Gi-Oh! 5D's,Yu-Gi-Oh! Zexal
3652,133,73043,1297483,Yu-Gi-Oh! 5D's,Yu-Gi-Oh! ARC-V
3654,121,73043,26110751,Yu-Gi-Oh! 5D's,Yu-Gi-Oh! Duel Monsters (Anime & Manga)
3655,123,116125,1297483,Yu-Gi-Oh! GX,Yu-Gi-Oh! ARC-V
3657,167,116125,26110751,Yu-Gi-Oh! GX,Yu-Gi-Oh! Duel Monsters (Anime & Manga)
3658,174,314015,1297483,Yu-Gi-Oh! Zexal,Yu-Gi-Oh! ARC-V
3664,1428,28642,229522,Dragon Age: Origins,Dragon Age II
3665,931,28642,852479,Dragon Age: Origins,Dragon Age: Origins - Awakening
3666,1918,28642,1080663,Dragon Age: Origins,Dragon Age: Inquisition
3667,499,229522,852479,Dragon Age II,Dragon Age: Origins - Awakening
3668,988,852479,858574,Dragon Age: Origins - Awakening,Dragon Age (Video Games)
3669,325,852479,1080663,Dragon Age: Origins - Awakening,Dragon Age: Inquisition
3670,845,586439,32833447,Captain America (Movies),Spider-Man (Tom Holland Movies)
3672,222,431213,13125490,Superman - All Media Types,Super Sons (Comics)
3673,289,105122,24557565,K-pop,ATEEZ (Band)
3683,1178,390,218129,DCU,Young Justice (Cartoon)
3685,970,448285,452874,Pocket Monsters | Pokemon (Anime),Pocket Monsters | Pokemon (Main Video Game Series)
3686,314,134900,10778845,IT - Stephen King,Stranger Things (TV 2016)
3687,201,10778845,34555820,Stranger Things (TV 2016),IT (Movies - Muschietti)
3698,273,136512,541478,Harry Potter - J. K. Rowling,The Hobbit - All Media Types
